sep=,
measuredAt,Gesamte Netzeinspeisung (Wh),Gesamter Netzbezug (Wh),PV (Wh),Batterieladung (Wh),Batterieentladung (Wh),Batterie SoC,EV (Wh),Haushalt (Wh),Verbrauch (Wh),Wärmepumpe (Wh)
2024-10-07T22:15:00Z,"11,901","12,949","1,4",0,"200,483","0,78",0,"157,454","202,931","45,477"
2024-10-07T22:30:00Z,"0,412","0,801",0,0,"192,093","0,7769666666666667",0,"146,996","192,482","45,486"
2024-10-07T22:45:00Z,"1,95","10,281","0,65",0,"451,733","0,7692666666666668",0,"182,294","460,714","278,419"
2024-10-07T23:00:00Z,"5,265","1,593","0,15",0,"803,973","0,7522",0,"177,622","800,451","622,829"
2024-10-07T23:15:00Z,"0,479","5,516",0,0,"818,44","0,7314",0,"176,329","823,477","647,147"
2024-10-07T23:30:00Z,"1,001","1,734",0,0,"862,256","0,7105666666666667",0,"190,009","862,989","672,98"
2024-10-07T23:45:00Z,"5,443","0,624",0,0,"277,986","0,6964666666666668",0,"157,121","273,168","116,046"
2024-10-08T00:00:00Z,"1,122","0,935",0,0,"227,513","0,6900000000000001",0,"184,541","227,326","42,785"
2024-10-08T00:15:00Z,"1,035","1,177",0,0,"207,796","0,6858666666666667",0,"165,47","207,938","42,468"
2024-10-08T00:30:00Z,"0,282","1,718","0,056",0,"180,036","0,68",0,"141,242","181,529","40,287"
2024-10-08T00:45:00Z,"1,43","1,081",0,0,"220,446","0,676",0,"183,442","220,097","36,654"
2024-10-08T01:00:00Z,"0,711","0,556",0,0,"187,273","0,67",0,"150,496","187,118","36,621"
2024-10-08T01:15:00Z,"0,346","4,926",0,0,"196,596","0,6672666666666668",0,"164,563","201,176","36,612"
2024-10-08T01:30:00Z,"1,768","0,998",0,0,"210,296","0,66",0,"174,234","209,527","35,292"
2024-10-08T01:45:00Z,"0,204","0,649",0,0,"170,726","0,6579666666666667",0,"137,223","171,171","33,948"
2024-10-08T02:00:00Z,"13,118","5,086","0,68",0,"229,673","0,65",0,"186,033","222,321","36,287"
2024-10-08T02:15:00Z,"0,374","0,6",0,0,"190,786","0,6472",0,"154,703","191,012","36,308"
2024-10-08T02:30:00Z,"0,308","0,719",0,0,"178,453","0,64",0,"141,452","178,864","37,411"
2024-10-08T02:45:00Z,"1,449","2,392",0,0,"238,6","0,6377",0,"200,952","239,543","38,59"
2024-10-08T03:00:00Z,"0,478","0,563",0,0,"182,493","0,6300000000000001",0,"143,65","182,578","38,927"
2024-10-08T03:15:00Z,"0,513","2,407","0,063",0,"190,706","0,6291000000000001",0,"154,086","192,664","38,577"
2024-10-08T03:30:00Z,"1,682","0,72",0,0,"226,723","0,6200000000000001",0,"187,028","225,761","38,732"
