sep=,
measuredAt,Gesamte Netzeinspeisung (Wh),Gesamter Netzbezug (Wh),PV (Wh),Batterieladung (Wh),Batterieentladung (Wh),Batterie SoC,EV (Wh),Haushalt (Wh),Verbrauch (Wh),Wärmepumpe (Wh)
2024-07-23T22:15:00Z,"10,147","9,842",0,0,"175,536","0,9054000000000001",0,"160,149","175,232","15,082"
2024-07-23T22:30:00Z,"0,723","0,709",0,0,"153,413","0,9",0,"138,299","153,399","15,1"
2024-07-23T22:45:00Z,"0,571","1,011",0,0,"147,966","0,9",0,"133,339","148,406","15,067"
2024-07-23T23:00:00Z,"0,949","1,698",0,0,"224,663","0,8909",0,"213,099","225,413","12,313"
2024-07-23T23:15:00Z,"0,36","0,62",0,0,"174,441","0,89",0,"164,03","174,701","10,67"
2024-07-23T23:30:00Z,"0,801","5,165",0,0,"184,568","0,8823255813953489",0,"178,243","188,931","10,688"
2024-07-23T23:45:00Z,"1,156","0,643",0,0,"162,48","0,88",0,"151,276","161,967","10,69"
2024-07-24T00:00:00Z,"0,857","1,238",0,0,"162,05","0,8765333333333334",0,"151,757","162,43","10,672"
2024-07-24T00:15:00Z,"1,118","1,188",0,0,"183,993","0,87",0,"173,347","184,063","10,715"
2024-07-24T00:30:00Z,"0,41","1,463",0,0,"139,287","0,87",0,"129,639","140,34","10,701"
2024-07-24T00:45:00Z,"0,389","3,563",0,0,"165,146","0,8625913621262459",0,"157,626","168,32","10,693"
2024-07-24T01:00:00Z,"1,169","1,158",0,0,"183,66","0,86",0,"172,944","183,649","10,704"
2024-07-24T01:15:00Z,"0,662","0,689",0,0,"161,533","0,8566000000000001",0,"150,858","161,56","10,702"
2024-07-24T01:30:00Z,"0,53","5,699",0,0,"165,436","0,85",0,"159,912","170,606","10,693"
2024-07-24T01:45:00Z,"0,91","0,729",0,0,"179,016","0,85",0,"168,135","178,835","10,699"
2024-07-24T02:00:00Z,"1,477","15,119",0,0,"547,116","0,8414333333333335",0,"136,233","560,758","424,524"
2024-07-24T02:15:00Z,"5,464","3,385",0,0,"1478,795","0,8106354515050167",0,"226,781","1476,716","1249,934"
2024-07-24T02:30:00Z,"0,421","1,599",0,0,"1373,571","0,769734219269103",0,"153,564","1374,75","1221,185"
2024-07-24T02:45:00Z,"16,271","3,338",0,0,"1394,933","0,7282608695652174",0,"186,813",1382,"1195,186"
2024-07-24T03:00:00Z,"0,985","0,581",0,0,"177,84","0,71",0,"166,781","177,436","10,654"
2024-07-24T03:15:00Z,"0,989","1,119",0,0,"161,979","0,7010367892976589",0,"151,493","162,109","10,616"
2024-07-24T03:30:00Z,"0,355","1,515",0,0,"167,173","0,7000000000000001",0,"157,725","168,333","10,607"
2024-07-24T03:45:00Z,"1,568","1,223",0,0,175,"0,6948172757475084",0,"164,071","174,655","10,583"
2024-07-24T04:00:00Z,"0,268","0,657",0,0,"116,966","0,6900000000000001",0,"106,76","117,356","10,595"
2024-07-24T04:15:00Z,"1,669","1,777","7,913",0,"173,394","0,6900000000000001",0,"170,511","181,415","10,903"
2024-07-24T04:30:00Z,"0,333","0,75","10,418",0,"104,694","0,6880398671096346",0,"100,305","115,529","15,223"
2024-07-24T04:45:00Z,"1,273","2,335","10,436",0,"130,896","0,68",0,"127,065","142,395","15,329"
2024-07-24T05:00:00Z,"3,114","2,26","37,29",0,"126,483","0,68",0,"147,607","162,92","15,312"
2024-07-24T05:15:00Z,"63,215","1524,824","43,78",0,"1551,673","0,6747666666666667","2811,142","230,727","3057,062","15,192"
2024-07-24T05:30:00Z,0,"5236,373","28,473",0,"5384,52","0,5766666666666668","10337,401","297,012","10649,367","14,952"
2024-07-24T05:45:00Z,0,"5121,266","100,766",0,"5376,37","0,4428333333333334","10331,959","251,502","10598,403","14,941"
2024-07-24T06:00:00Z,0,"5084,108","18,043",0,"5356,253","0,3083666666666667","10241,971","201,446","10458,405","14,986"
2024-07-24T06:15:00Z,0,"5162,815","104,296",0,"5296,433","0,1764","10260,316","288,327","10563,545","14,902"
2024-07-24T06:30:00Z,0,"8047,008","207,14",0,"2226,89","0,06393333333333334","10275,072","191,201","10481,038","14,763"
2024-07-24T06:45:00Z,0,"10307,977","232,196",0,"11,936","0,05","10272,864","264,595","10552,11","14,65"
2024-07-24T07:00:00Z,0,"10342,597","165,353",0,"11,946","0,05","10285,29","219,888","10519,897","14,718"
2024-07-24T07:15:00Z,0,"10152,305","331,043",0,"11,776","0,05","10285,778","194,637","10495,125","14,709"
2024-07-24T07:30:00Z,0,"9463,698","715,936",0,"11,936","0,05","9972,292","204,471","10191,571","14,807"
2024-07-24T07:45:00Z,0,"2616,693","1189,823",0,"11,986","0,05","3706,716","96,786","3818,503","14,999"
2024-07-24T08:00:00Z,"33,815","166,627","1109,576","590,616","3,99","0,055600000000000004","552,53","88,179","655,762","15,052"
2024-07-24T08:15:00Z,"43,126","44,694","1601,88","1421,283","1,55","0,08403333333333335",0,"168,525","183,714","15,189"
2024-07-24T08:30:00Z,"66,651","67,316","2150,893","2014,216",0,"0,1247",0,"122,163","137,342","15,178"
2024-07-24T08:45:00Z,"65,52","51,024","2501,423","2340,933",0,"0,17173333333333335",0,"130,857","145,993","15,136"
2024-07-24T09:00:00Z,"67,569","93,29","2950,003","2810,593",0,"0,24523333333333333",0,"150,036","165,13","15,094"
2024-07-24T09:15:00Z,"51,553","25,101","2955,133","2812,1",0,"0,3014666666666667",0,"101,441","116,582","15,14"
2024-07-24T09:30:00Z,"46,448","59,981","2757,9","2590,253",0,"0,38060000000000005",0,"169,165","181,18","12,014"
2024-07-24T09:45:00Z,"118,852","82,866","3157,793","3008,306",0,"0,43766666666666676",0,"102,754","113,5","10,745"
2024-07-24T10:00:00Z,"134,351","129,554","4144,333","4018,703",0,"0,5288666666666667",0,"108,985","120,833","11,847"
2024-07-24T10:15:00Z,"93,218","110,088","3490,866","3355,153",0,"0,6093311036789297",0,"141,736","152,582","10,845"
2024-07-24T10:30:00Z,"52,905","81,699","1951,76","1845,737",0,"0,682624584717608",0,"124,086","134,817","10,73"
2024-07-24T10:45:00Z,"166,692","143,713","3722,833","3568,456",0,"0,7419333333333334",0,"120,621","131,397","10,776"
2024-07-24T11:00:00Z,"131,38","110,761","3917,813","3736,606",0,"0,8381333333333334",0,"146,624","160,587","13,962"
2024-07-24T11:15:00Z,"1175,052","6,223","5083,386","3774,826","1,396","0,9322000000000001",0,"125,807","141,127","15,32"
2024-07-24T11:30:00Z,"2629,509",0,"2792,57",0,"9,068",1,0,"156,803","172,129","15,325"
2024-07-24T11:45:00Z,"2813,301",0,"2953,288",0,"9,041",1,0,"133,631","149,028","15,397"
2024-07-24T12:00:00Z,"2622,956",0,"2766,46",0,"9,176",1,0,"137,211","152,68","15,469"
2024-07-24T12:15:00Z,"3279,481",0,"3461,096",0,"9,5",1,0,"175,535","191,115","15,579"
2024-07-24T12:30:00Z,"3670,754",0,"3818,603",0,"9,556",1,0,"141,833","157,406","15,572"
2024-07-24T12:45:00Z,"3097,951",0,"3264,563",0,"9,76",1,0,"160,768","176,372","15,603"
2024-07-24T13:00:00Z,"3208,815",0,"3432,57",0,"9,71",1,0,"194,591","233,464","38,873"
2024-07-24T13:15:00Z,"2018,21",0,"3451,276",0,"9,656",1,0,"112,721","1442,723","1330,001"
2024-07-24T13:30:00Z,"2847,246",0,"4188,67",0,"9,873",1,0,"203,857","1351,296","1147,439"
2024-07-24T13:45:00Z,"1475,318",0,"2720,776",0,"9,593",1,0,"129,739","1255,051","1125,312"
2024-07-24T14:00:00Z,"3443,864",0,"3599,243",0,"9,606",1,0,"149,632","164,986","15,353"
2024-07-24T14:15:00Z,"3629,944",0,"3795,65",0,"9,4",1,0,"160,028","175,105","15,076"
2024-07-24T14:30:00Z,"3217,148",0,"3359,726",0,"9,456",1,0,"136,846","152,035","15,188"
2024-07-24T14:45:00Z,"2503,941",0,"2656,53",0,"9,286",1,0,"146,745","161,875","15,129"
2024-07-24T15:00:00Z,"3080,452",0,"3225,7",0,"9,386",1,0,"139,421","154,634","15,212"
2024-07-24T15:15:00Z,"2323,662",0,"2464,766",0,"9,166","0,9926",0,"135,154","150,271","15,116"
2024-07-24T15:30:00Z,"3010,643",0,"3194,183",0,"9,08","0,99",0,"177,393","192,619","15,226"
2024-07-24T15:45:00Z,"1477,665",0,"1614,003",0,"9,086","0,99",0,"130,3","145,424","15,124"
2024-07-24T16:00:00Z,"2527,817",0,"2667,096",0,"9,396","0,99",0,"133,551","148,676","15,124"
2024-07-24T16:15:00Z,"1865,399",0,"2032,663",0,"9,19","0,99",0,"161,373","176,454","15,08"
2024-07-24T16:30:00Z,"898,017",0,"1023,946",0,"9,043","0,99",0,"119,886","134,972","15,085"
2024-07-24T16:45:00Z,"867,377",0,"1038,143",0,"9,14","0,99",0,"164,859","179,906","15,047"
2024-07-24T17:00:00Z,"1123,656",0,"1253,823",0,"9,586","0,99",0,"124,816","139,753","14,936"
2024-07-24T17:15:00Z,"1281,124",0,"1499,693",0,"9,913","0,99",0,"213,444","228,482","15,038"
2024-07-24T17:30:00Z,"1116,58",0,"1315,243",0,"9,983","0,99",0,"193,611","208,646","15,034"
2024-07-24T17:45:00Z,"865,799",0,"1072,046",0,"9,853","0,99",0,"200,989","216,1","15,11"
2024-07-24T18:00:00Z,"633,546",0,"824,643",0,"9,973","0,99",0,"185,997","201,069","15,072"
2024-07-24T18:15:00Z,"479,037",0,"609,36",0,"9,99","0,99",0,"125,345","140,312","14,967"
2024-07-24T18:30:00Z,"330,629",0,"458,196",0,"9,62","0,99",0,"122,282","137,187","14,904"
2024-07-24T18:45:00Z,"138,064",0,"299,973",0,"9,496","0,99",0,"156,473","171,405","14,931"
2024-07-24T19:00:00Z,"73,823","0,373","178,776","0,016","9,81","0,9851333333333334",0,"100,199","115,119","14,92"
2024-07-24T19:15:00Z,"0,396","2,214","61,123",0,"98,036","0,98",0,"146,084","160,978","14,893"
