sep=,
measuredAt,Gesamte Netzeinspeisung (Wh),Gesamter Netzbezug (Wh),PV (Wh),Batterieladung (Wh),Batterieentladung (Wh),Batterie SoC,EV (Wh),Haushalt (Wh),Verbrauch (Wh)
2023-10-31T23:00:00Z,"5293,168","496002,687","121052,297","67937,659","63523,741",,"298053,435","309404,031","607347,918"
2023-11-30T23:00:00Z,"2405,161","403182,852","61415,629","33887,019","29211,154",,"202454,836","255162,159","457517,553"
2023-12-31T23:00:00Z,"3057,649","447449,641","80176,05","42573,837","38275,082",,"250274,026","271001,898","520269,357"
2024-01-31T23:00:00Z,"18946,551","295343,312","199929,249","124865,271","118347,884",,"203571,513","266237,122","469808,642"
2024-02-29T23:00:00Z,"103661,497","124759,901","487923,909","227638,351","219506,618",,"220192,104","283125,209","500890,565"
2024-03-31T22:00:00Z,"234809,785","53986,926","744037,452","275686,108","263437,633",,"290751,071","266170,822","551021,135"
2024-04-30T22:00:00Z,"487422,729","80945,687","1019673,236","292978,14","293249,57",,"167149,414","448142,872","614208,629"
2024-05-31T22:00:00Z,"420332,429","64579,894","1071126,115","347903,576","330171,85",,"269837,243","432509,098","698622,044"
2024-06-30T22:00:00Z,"718837,46","22896,747","1100085,67","241707,98","229548,626",,"62098,816","335554,41","396615,188"
2024-07-31T22:00:00Z,"1447290,349","25638,441","1977651,058","243636,893","237567,437",,"158858,574","392869,394","551435,786"
2024-08-31T22:00:00Z,"612155,29","92014,725","1241022,906","322095,55","320492,173",,"173297,457","546010,254","719279,119"
2024-09-30T22:00:00Z,"81774,54","449646,75","606549,148","334349,192","326182,499",,"162933,419","803350,423","966254,81"
2024-10-31T23:00:00Z,"11474,487","1415208,237","261103,699","107346,286","100877,927",,"332234,407","1326162,898","1658369,177"
2024-11-30T23:00:00Z,,,,,,,,,
