sep=,
measuredAt,Gesamte Netzeinspeisung (Wh),Gesamter Netzbezug (Wh),PV (Wh),Batterieladung (Wh),Batterieentladung (Wh),Batterie SoC,EV (Wh),Haushalt (Wh),Verbrauch (Wh)
2024-01-27T23:15:00Z,0,"333,057",0,0,0,"0,05",0,"333,057","333,057"
2024-01-27T23:30:00Z,0,"380,823",0,0,0,"0,05",0,"380,823","380,823"
2024-01-27T23:45:00Z,0,"254,431",0,0,0,"0,05",0,"254,431","254,431"
2024-01-28T00:00:00Z,0,"182,645",0,0,0,"0,05",0,"182,645","182,645"
2024-01-28T00:15:00Z,0,"203,022",0,0,0,"0,05",0,"203,022","203,022"
2024-01-28T00:30:00Z,0,"164,105",0,0,0,"0,05",0,"164,105","164,105"
2024-01-28T00:45:00Z,0,"243,649",0,0,0,"0,05",0,"243,649","243,649"
2024-01-28T01:00:00Z,0,"202,514",0,0,0,"0,05",0,"202,514","202,514"
2024-01-28T01:15:00Z,0,"127,38",0,0,0,"0,05",0,"127,38","127,38"
2024-01-28T01:30:00Z,0,"126,098",0,0,0,"0,05",0,"126,098","126,098"
2024-01-28T01:45:00Z,0,"170,019",0,0,0,"0,05",0,"170,019","170,019"
2024-01-28T02:00:00Z,0,"151,086",0,0,0,"0,05",0,"151,086","151,086"
2024-01-28T02:15:00Z,0,"135,789",0,0,0,"0,05",0,"135,789","135,789"
2024-01-28T02:30:00Z,0,"234,096",0,0,0,"0,05",0,"234,096","234,096"
2024-01-28T02:45:00Z,0,"146,07",0,0,0,"0,05",0,"146,07","146,07"
2024-01-28T03:00:00Z,0,"154,143",0,0,0,"0,05",0,"154,143","154,143"
2024-01-28T03:15:00Z,0,"203,713",0,0,0,"0,05",0,"203,713","203,713"
2024-01-28T03:30:00Z,0,"136,997",0,0,0,"0,05",0,"136,997","136,997"
2024-01-28T03:45:00Z,0,"222,951",0,0,0,"0,05",0,"222,951","222,951"
2024-01-28T04:00:00Z,0,"186,399",0,0,0,"0,05",0,"186,399","186,399"
2024-01-28T04:15:00Z,0,"222,789",0,0,0,"0,05",0,"222,789","222,789"
2024-01-28T04:30:00Z,0,"176,491",0,0,0,"0,05",0,"176,491","176,491"
2024-01-28T04:45:00Z,0,"171,324",0,0,0,"0,05",0,"171,324","171,324"
2024-01-28T05:00:00Z,0,"195,579",0,0,0,"0,05",0,"195,579","195,579"
2024-01-28T05:15:00Z,0,"190,797",0,0,0,"0,05",0,"190,797","190,797"
2024-01-28T05:30:00Z,0,"182,213",0,0,0,"0,05",0,"182,213","182,213"
2024-01-28T05:45:00Z,0,"150,529",0,0,0,"0,05",0,"150,529","150,529"
2024-01-28T06:00:00Z,0,"219,966",0,0,0,"0,05",0,"219,966","219,966"
2024-01-28T06:15:00Z,0,"217,179",0,0,0,"0,05",0,"217,179","217,179"
2024-01-28T06:30:00Z,0,"153,804",0,0,0,"0,05",0,"153,804","153,804"
2024-01-28T06:45:00Z,0,"134,708",0,0,0,"0,05",0,"134,708","134,708"
2024-01-28T07:00:00Z,0,"204,208",0,0,0,"0,05",0,"204,208","204,208"
2024-01-28T07:15:00Z,0,"180,915",0,0,0,"0,05",0,"180,915","180,915"
2024-01-28T07:30:00Z,0,"142,691",0,0,0,"0,05",0,"142,691","142,691"
2024-01-28T07:45:00Z,0,"188,027","2,604",0,0,"0,05",0,"190,631","190,631"
2024-01-28T08:00:00Z,0,"194,564","76,368",0,"3,51","0,05",0,"274,442","274,442"
2024-01-28T08:15:00Z,"2,825","15,074","152,983","12,56","2,675","0,05",0,"155,346","155,346"
2024-01-28T08:30:00Z,"2,053","3,031","181,441","37,653","0,276","0,05",0,"145,042","145,042"
2024-01-28T08:45:00Z,"2,222","4,218","200,664","23,104","1,788","0,05",0,"181,344","181,344"
2024-01-28T09:00:00Z,"3,241","3,017","229,815","74,243","0,155","0,05",0,"155,504","155,504"
2024-01-28T09:15:00Z,"3,669","2,662","265,109","122,266",0,"0,0552027027027027",0,"141,836","141,836"
2024-01-28T09:30:00Z,"5,229","6,792","289,375","76,587","0,131","0,06",0,"214,482","214,482"
