sep=,
measuredAt,Gesamte Netzeinspeisung (Wh),Gesamter Netzbezug (Wh),PV (Wh),Batterieladung (Wh),Batterieentladung (Wh),Batterie SoC,EV (Wh),Haushalt (Wh),Verbrauch (Wh)
2024-08-17T22:15:00Z,"3,732","1,059",0,0,"280,796","0,8207333333333334",0,"278,123","278,123"
2024-08-17T22:30:00Z,"0,671","1,506",0,0,"241,166","0,8181333333333334",0,"242,001","242,001"
2024-08-17T22:45:00Z,"0,919","1,075",0,0,"299,733","0,81",0,"299,889","299,889"
2024-08-17T23:00:00Z,"2,709","4,649",0,0,"312,236","0,8036666666666668",0,"314,177","314,177"
2024-08-17T23:15:00Z,"1,218","0,651",0,0,"295,046","0,7977000000000001",0,"294,48","294,48"
2024-08-17T23:30:00Z,"1,036","1,362",0,0,"282,843","0,79",0,"283,169","283,169"
2024-08-17T23:45:00Z,"1,643","0,61",0,0,"236,646","0,7838000000000002",0,"235,613","235,613"
2024-08-18T00:00:00Z,"0,392","1,186",0,0,"217,863","0,78",0,"218,656","218,656"
2024-08-18T00:15:00Z,"15,165","4,607",0,0,"308,263","0,7735666666666667",0,"297,705","297,705"
2024-08-18T00:30:00Z,"1,929","0,925",0,0,"289,34","0,7679",0,"288,336","288,336"
2024-08-18T00:45:00Z,"0,468","1,127",0,0,"233,348","0,76",0,"234,007","234,007"
2024-08-18T01:00:00Z,"0,942","0,41",0,0,"260,69","0,7561666666666668",0,"260,158","260,158"
2024-08-18T01:15:00Z,"1,131","1,042",0,0,"209,906","0,75",0,"209,817","209,817"
2024-08-18T01:30:00Z,"1,164","1,891",0,0,"264,463","0,7463666666666667",0,"265,19","265,19"
2024-08-18T01:45:00Z,"1,731","0,938",0,0,"304,436","0,74",0,"303,643","303,643"
2024-08-18T02:00:00Z,"1,016","0,542",0,0,"239,016","0,7313000000000001",0,"238,543","238,543"
2024-08-18T02:15:00Z,"0,72","1,386",0,0,"244,61","0,73",0,"245,276","245,276"
2024-08-18T02:30:00Z,"0,928","0,463",0,0,"250,02","0,7202666666666667",0,"249,554","249,554"
2024-08-18T02:45:00Z,"0,408","1,607",0,0,"234,76","0,7190000000000001",0,"235,959","235,959"
2024-08-18T03:00:00Z,"26,259","6,294",0,0,"335,05","0,71",0,"315,085","315,085"
2024-08-18T03:15:00Z,"33,523","17,63",0,0,"329,96","0,7025666666666668",0,"314,067","314,067"
2024-08-18T03:30:00Z,"2,473","0,476",0,0,"258,12","0,6967666666666668",0,"256,123","256,123"
2024-08-18T03:45:00Z,"1,333","6,52",0,0,"257,466","0,6900000000000001",0,"262,654","262,654"
2024-08-18T04:00:00Z,"2,043","1,672",0,0,"304,17","0,6841333333333334",0,"303,799","303,799"
2024-08-18T04:15:00Z,"1,54","0,918",0,0,"298,97","0,6785333333333334",0,"298,348","298,348"
2024-08-18T04:30:00Z,"0,887","1,236",0,0,"277,36","0,67",0,"277,708","277,708"
2024-08-18T04:45:00Z,"2,253","186,545",0,0,"1425,49","0,6618666666666667",0,"1609,781","1609,781"
2024-08-18T05:00:00Z,"185,811","455,751",0,"44,633","2493,16","0,5900000000000001",0,"2718,466","2718,466"
2024-08-18T05:15:00Z,"6,826","3,134","88,796",0,"183,316","0,5700000000000001",0,"268,421","268,421"
2024-08-18T05:30:00Z,"4,77","0,496","335,483","47,276","8,52","0,5700000000000001",0,"292,452","292,452"
2024-08-18T05:45:00Z,"5,181","0,295","597,146","438,006",0,"0,5751666666666667",0,"154,254","154,254"
2024-08-18T06:00:00Z,"19,781","4,812","933,243","696,366",0,"0,5884666666666667",0,"221,907","221,907"
2024-08-18T06:15:00Z,"1,158","6,023","852,473","672,196",0,"0,6066666666666667",0,"185,141","185,141"
2024-08-18T06:30:00Z,"23,026","4,149","649,873","468,14","9,31","0,6186",0,"172,165","172,165"
2024-08-18T06:45:00Z,"4,632","4,272","795,493","483,106",0,"0,6300333333333333",0,"312,026","312,026"
2024-08-18T07:00:00Z,"5,324","1,928","1063,343","872,56",0,"0,6457333333333334",0,"187,387","187,387"
2024-08-18T07:15:00Z,"10,181","4,009","1043,953","887,306",0,"0,6669666666666667",0,"150,474","150,474"
2024-08-18T07:30:00Z,"14,225","2,351","1650,363","1462,353",0,"0,6931666666666668",0,"176,136","176,136"
2024-08-18T07:45:00Z,"14,423","101,884","2797,04","746,266","1717,4","0,7134333333333334",0,"3855,634","3855,634"
2024-08-18T08:00:00Z,"141,402","24,042","3294,716","2999,183","70,056","0,7251333333333334",0,"248,229","248,229"
2024-08-18T08:15:00Z,"32,795","12,525","3279,813","3121,333",0,"0,7933666666666668",0,"138,209","138,209"
2024-08-18T08:30:00Z,"31,331","22,953","3685,703","3599,186",0,"0,8729666666666667",0,"78,138","78,138"
2024-08-18T08:45:00Z,"836,072","9,018","5236,2","4393,676","1,04","0,9662333333333334",0,"16,509","16,509"
2024-08-18T09:00:00Z,"5376,88",0,"5439,176",0,"10,143",1,0,"72,44","72,44"
2024-08-18T09:15:00Z,"5785,28",0,"5843,6",0,"10,01",1,0,"68,329","68,329"
2024-08-18T09:30:00Z,"5702,081",0,"5796,88",0,"10,08",1,0,"104,878","104,878"
2024-08-18T09:45:00Z,"5925,099",0,"6048,423",0,"10,253",1,0,"133,577","133,577"
2024-08-18T10:00:00Z,"8480,331",0,"8927,54",0,"10,82",1,0,"458,028","458,028"
2024-08-18T10:15:00Z,"8657,715",0,"9299,19",0,"11,07",1,0,"652,544","652,544"
2024-08-18T10:30:00Z,"6683,14",0,"6853,806",0,"10,623",1,0,"181,289","181,289"
2024-08-18T10:45:00Z,"4561,734",0,"7984,4",0,"10,796",1,0,"3433,461","3433,461"
2024-08-18T11:00:00Z,"8814,759",0,"8889,663",0,"10,753",1,0,"85,657","85,657"
2024-08-18T11:15:00Z,"9192,979",0,"9138,323",0,"10,793",1,0,0,0
2024-08-18T11:30:00Z,"8957,106",0,"8886,566",0,"10,666",1,0,0,0
2024-08-18T11:45:00Z,"9747,699",0,"9735,43",0,"10,98",1,0,0,0
2024-08-18T12:00:00Z,"8158,463",0,"8129,176",0,"10,516",1,0,0,0
2024-08-18T12:15:00Z,"7727,481",0,"7665,846",0,"10,266",1,0,0,0
2024-08-18T12:30:00Z,"9195,973",0,"9164,216",0,"10,746",1,0,0,0
2024-08-18T12:45:00Z,"8471,423",0,"8404,346",0,"10,626",1,0,0,0
2024-08-18T13:00:00Z,"7745,445",0,"7774,633",0,"10,606",1,0,"39,794","39,794"
2024-08-18T13:15:00Z,"8582,177",0,"8529,873",0,"10,523",1,0,0,0
