sep=,
measuredAt,Gesamte Netzeinspeisung (Wh),Gesamter Netzbezug (Wh),PV (Wh),Batterieladung (Wh),Batterieentladung (Wh),Batterie SoC,EV (Wh),Haushalt (Wh),Verbrauch (Wh),Wärmepumpe (Wh)
2023-10-31T23:00:00Z,"44742,033","854728,292","291970,139","106253,863","96950,373",,0,"501945,525","1092653,01","590707,22"
2023-11-30T23:00:00Z,"23949,966","1157892,251","193494,584","61268,044","47412,179",,0,"639746,137","1313581,104","673834,711"
2023-12-31T23:00:00Z,"100097,983","1088317,809","385260,902","108541,312","98486,071",,0,"508851,021","1363425,575","854574,234"
2024-01-31T23:00:00Z,"45419,649","611590,082","282725,867","103951,709","95372,776",,0,"420807,982","840317,415","420506,709"
2024-02-29T23:00:00Z,,,,,,,,,,
2024-03-31T22:00:00Z,"156717,858","79443,835","332976,275","75868,522","72189,62",,"10612,062","241411,31","252023,376",
2024-04-30T22:00:00Z,"695901,63","106449,73","1200514,953","232932,741","214117,456",,"21593,336","471780,35","592395,473","99270,592"
2024-05-31T22:00:00Z,"815530,32","81618,4","1368828,325","236557,835","218949,412",,"11316,766","430485,8","617307,966","181619,892"
2024-06-30T22:00:00Z,"864281,17","112999,552","1357175,956","228010,598","202364,808",,"15915,359","341199,355","580248,549","244204,25"
2024-07-31T22:00:00Z,"904542,605","70809,669","1321673,701","179294,062","171432,242",,"30981,431","357122,309","480078,934","95925,175"
2024-08-31T22:00:00Z,"794813,036","394071,401","1310802,223","532321,206","940378,463",,"23592,095","1175787,588","1342498,481","152893,309"
2024-09-30T22:00:00Z,"322624,083","425158,482","712928,428","292109,96","275943,348",,"13280,126","506111,44","799296,36","279904,62"
2024-10-31T23:00:00Z,"151190,82","866417,252","364064,067","173328,163","161283,579",,"9146,128","495696,807","1067246,025","562402,905"
2024-11-30T23:00:00Z,,,,,,,,,,
