sep=,
measuredAt,Gesamte Netzeinspeisung (Wh),Gesamter Netzbezug (Wh),PV (Wh),Batterieladung (Wh),Batterieentladung (Wh),Batterie SoC,EV (Wh),Haushalt (Wh),Verbrauch (Wh),Wärmepumpe (Wh)
2024-01-22T23:15:00Z,0,"389,786",0,0,0,"0,04",0,"375,786","389,786",14
2024-01-22T23:30:00Z,0,"339,79",0,0,0,"0,04",0,"325,79","339,79",14
2024-01-22T23:45:00Z,0,"344,487",0,0,0,"0,04",0,"330,487","344,487",14
2024-01-23T00:00:00Z,0,"418,236",0,0,0,"0,04",0,"404,236","418,236",14
2024-01-23T00:15:00Z,0,"412,082",0,0,0,"0,04",0,"400,523","412,082","11,559"
2024-01-23T00:30:00Z,0,"395,398",0,0,0,"0,04",0,"387,398","395,398",8
2024-01-23T00:45:00Z,0,"347,747",0,0,0,"0,04",0,"339,747","347,747","7,999"
2024-01-23T01:00:00Z,0,"343,174",0,0,0,"0,04",0,"335,174","343,174",8
2024-01-23T01:15:00Z,0,"361,714",0,0,0,"0,04",0,"353,714","361,714",8
2024-01-23T01:30:00Z,0,"404,667",0,0,0,"0,04",0,"396,667","404,667",8
2024-01-23T01:45:00Z,0,"410,756",0,0,0,"0,04",0,"402,756","410,756",8
2024-01-23T02:00:00Z,0,"387,676",0,0,0,"0,04",0,"379,676","387,676",8
2024-01-23T02:15:00Z,0,"341,707",0,0,0,"0,04",0,"333,707","341,707","7,999"
2024-01-23T02:30:00Z,0,"337,699",0,0,0,"0,039999999999999994",0,"329,699","337,699",8
2024-01-23T02:45:00Z,0,"406,833",0,0,0,"0,04",0,"398,833","406,833",8
2024-01-23T03:00:00Z,0,"414,384",0,0,0,"0,04",0,"406,384","414,384",8
2024-01-23T03:15:00Z,0,413,0,0,0,"0,04",0,405,413,8
2024-01-23T03:30:00Z,0,"348,725",0,0,0,"0,04",0,"340,725","348,725",8
2024-01-23T03:45:00Z,0,"335,695",0,0,0,"0,04",0,"327,695","335,695",8
2024-01-23T04:00:00Z,0,"384,352",0,0,0,"0,04",0,"376,352","384,352",8
2024-01-23T04:15:00Z,0,"426,337",0,0,0,"0,04",0,"418,337","426,337",8
2024-01-23T04:30:00Z,0,"402,569",0,0,0,"0,04",0,"394,569","402,569","7,999"
2024-01-23T04:45:00Z,0,"1953,583",0,0,0,"0,04",0,"487,785","1953,583","1465,798"
2024-01-23T05:00:00Z,0,"1000,304",0,0,0,"0,04",0,"239,91","1000,304","760,394"
2024-01-23T05:15:00Z,0,"4529,102",0,0,0,"0,04",0,"682,829","4529,102","3846,273"
2024-01-23T05:30:00Z,0,"2508,338",0,0,0,"0,04",0,"355,781","2508,338","2152,557"
2024-01-23T05:45:00Z,0,"2279,286",0,0,0,"0,04",0,"750,803","2279,286","1528,483"
2024-01-23T06:00:00Z,0,"2197,918",0,0,0,"0,033221288515406164",0,"500,241","2197,918","1697,676"
2024-01-23T06:15:00Z,0,"1146,07",0,0,0,"0,030000000000000006",0,"676,671","1146,07","469,398"
2024-01-23T06:30:00Z,0,"3655,388",0,0,0,"0,03",0,"740,922","3655,388","2914,465"
2024-01-23T06:45:00Z,0,"2016,509",0,0,0,"0,03",0,"535,759","2016,509","1480,75"
2024-01-23T07:00:00Z,0,"1670,247",0,0,0,"0,030000000000000006",0,"634,498","1670,247","1035,749"
2024-01-23T07:15:00Z,0,"2778,133",0,0,0,"0,03",0,"663,007","2778,133","2115,125"
2024-01-23T07:30:00Z,0,"486,19","25,946","0,032","0,316","0,03",0,"475,38","512,421","37,041"
2024-01-23T07:45:00Z,0,"3655,239","129,579","0,06","0,672","0,03",0,"778,707","3785,431","3006,724"
2024-01-23T08:00:00Z,0,"1839,442","333,512","0,512","0,178","0,03",0,"542,18","2172,62","1630,44"
2024-01-23T08:15:00Z,"6,529","1502,954","997,132","36,805","0,058","0,03",0,"1300,767","2456,81","1156,042"
2024-01-23T08:30:00Z,"21,05","871,859","1719,578","828,103",0,"0,04080862533692723",0,"504,089","1742,283","1238,194"
2024-01-23T08:45:00Z,"27,024","16,118","2519,457",1875,0,"0,08818652849740934",0,"596,551","633,551",37
2024-01-23T09:00:00Z,"118,006","72,353","3250,198","521,891","883,013","0,11351898734177215",0,"1247,275","3565,666","2318,391"
2024-01-23T09:15:00Z,"20,184","14,983","3712,611","3138,448",0,"0,15894329896907217",0,"531,962","568,962",37
2024-01-23T09:30:00Z,"20,788","63,464","4325,824","2883,437",0,"0,26550913838120105",0,"644,452","1485,063","840,61"
2024-01-23T09:45:00Z,"103,203","43,074","4878,725","2586,956","28,669","0,32992207792207795",0,"539,395","2260,309","1720,913"
2024-01-23T10:00:00Z,"51,698","27,144","5351,281","4673,331",0,"0,45514360313315927",0,"616,395","653,395",37
2024-01-23T10:15:00Z,"293,909","221,838","5544,127","2693,711","55,149","0,5853678474114441",0,"812,191","2833,493","2021,302"
2024-01-23T10:30:00Z,"517,302","314,043","5461,011","4403,596",0,"0,6821130221130222",0,"481,824","854,155","372,33"
2024-01-23T10:45:00Z,"388,745","618,094","5351,372","4212,24",0,"0,8232474226804124",0,"1239,086","1368,48","129,394"
2024-01-23T11:00:00Z,"1112,156","544,913","5605,994","2376,31","146,67","0,9179795396419438",0,"617,36","2809,111","2191,75"
2024-01-23T11:15:00Z,"3764,759","11,494","6515,507","1692,989",0,"0,9869154228855722",0,"1032,252","1069,252",37
2024-01-23T11:30:00Z,"4595,797","10,557","6331,078","8,944","6,567",1,0,"802,518","1743,461","940,943"
2024-01-23T11:45:00Z,"4076,967","25,897","5376,424","7,546","54,853",1,0,"539,303","1372,661","833,357"
