,measuredAt,Gesamte Netzeinspeisung (Wh),Gesamter Netzbezug (Wh),PV (Wh),Batterieladung (Wh),Batterieentladung (Wh),Batterie SoC,EV (Wh),Haushalt (Wh),Verbrauch (Wh),Wärmepumpe (Wh)
0,2024-03-25T23:15:00Z,0.0,1189.11,0.0,0.0,0.0,0.05,0.0,135.8,1189.11,1053.309
1,2024-03-25T23:30:00Z,0.0,1167.424,0.0,0.0,0.0,0.05,0.0,123.89,1167.424,1043.534
2,2024-03-25T23:45:00Z,0.0,1141.256,0.0,0.0,0.0,0.05,0.0,140.533,1141.256,1000.723
3,2024-03-26T00:00:00Z,0.0,1086.983,0.0,0.0,0.0,0.05,0.0,126.402,1086.983,960.58
4,2024-03-26T00:15:00Z,0.0,1031.405,0.0,0.0,0.0,0.05,0.0,125.792,1031.405,905.612
5,2024-03-26T00:30:00Z,0.0,977.266,0.0,0.0,0.0,0.05,0.0,153.362,977.266,823.904
6,2024-03-26T00:45:00Z,0.0,862.554,0.0,0.0,0.0,0.05,0.0,111.96,862.554,750.593
7,2024-03-26T01:00:00Z,0.0,802.919,0.0,0.0,0.0,0.05,0.0,142.458,802.919,660.461
8,2024-03-26T01:15:00Z,0.0,863.584,0.0,0.0,0.0,0.05,0.0,137.09,863.584,726.494
9,2024-03-26T01:30:00Z,0.0,841.95,0.0,0.0,0.0,0.05,0.0,111.564,841.95,730.386
10,2024-03-26T01:45:00Z,0.0,876.615,0.0,0.0,0.0,0.05,0.0,142.681,876.615,733.934
11,2024-03-26T02:00:00Z,0.0,591.713,0.0,0.0,0.0,0.05,0.0,128.261,591.713,463.452
12,2024-03-26T02:15:00Z,0.0,171.326,0.0,0.0,0.0,0.05,0.0,131.552,171.326,39.773
13,2024-03-26T02:30:00Z,0.0,542.552,0.0,0.0,0.0,0.05,0.0,503.218,542.552,39.334
14,2024-03-26T02:45:00Z,0.0,181.685,0.0,0.0,0.0,0.05,0.0,141.834,181.685,39.851
15,2024-03-26T03:00:00Z,0.0,168.063,0.0,0.0,0.0,0.0441806020066889,0.0,127.993,168.063,40.069
16,2024-03-26T03:15:00Z,0.0,153.145,0.0,0.0,0.0,0.04,0.0,112.991,153.145,40.154
17,2024-03-26T03:30:00Z,0.0,208.67,0.0,0.0,0.0,0.04,0.0,168.621,208.67,40.048
18,2024-03-26T03:45:00Z,0.0,153.268,0.0,0.0,0.0,0.04,0.0,112.84,153.268,40.428
19,2024-03-26T04:00:00Z,0.0,161.613,0.0,0.0,0.0,0.04,0.0,121.183,161.613,40.43
20,2024-03-26T04:15:00Z,0.0,194.359,0.0,0.0,0.0,0.04,0.0,154.059,194.359,40.3
21,2024-03-26T04:30:00Z,0.0,155.547,0.0,0.0,0.0,0.04,0.0,111.123,155.547,44.424
