time,WP (Wh)
2024-01-01 00:00:00,374.3965
2024-01-01 01:00:00,43.5545
2024-01-01 02:00:00,404.88575
2024-01-01 03:00:00,733.5777499999999
2024-01-01 04:00:00,740.153
2024-01-01 05:00:00,170.56375
2024-01-01 06:00:00,46.9765
2024-01-01 07:00:00,1074.7665
2024-01-01 08:00:00,1199.40725
2024-01-01 09:00:00,682.11
2024-01-01 10:00:00,36.999
2024-01-01 11:00:00,40.09475
2024-01-01 12:00:00,35.7655
2024-01-01 13:00:00,30.2015
2024-01-01 14:00:00,30.11
2024-01-01 15:00:00,30.084
2024-01-01 16:00:00,93.6455
2024-01-01 17:00:00,1403.1735
2024-01-01 18:00:00,739.77975
2024-01-01 19:00:00,54.61775
2024-01-01 20:00:00,43.03625
2024-01-01 21:00:00,44.23075
2024-01-01 22:00:00,444.5215
2024-01-01 23:00:00,707.673
2024-01-02 00:00:00,710.36325
2024-01-02 01:00:00,139.0865
2024-01-02 02:00:00,202.47725
2024-01-02 03:00:00,730.1837499999999
2024-01-02 04:00:00,797.43575
2024-01-02 05:00:00,762.93375
2024-01-02 06:00:00,736.42475
2024-01-02 07:00:00,143.0855
2024-01-02 08:00:00,274.89975000000004
2024-01-02 09:00:00,1258.9285
2024-01-02 10:00:00,363.24225
2024-01-02 11:00:00,29.9965
2024-01-02 12:00:00,30.222
2024-01-02 13:00:00,38.251
2024-01-02 14:00:00,33.717749999999995
2024-01-02 15:00:00,30.2405
2024-01-02 16:00:00,30.09125
2024-01-02 17:00:00,31.93175
2024-01-02 18:00:00,806.43025
2024-01-02 19:00:00,1413.98225
2024-01-02 20:00:00,796.0070000000001
2024-01-02 21:00:00,38.29575
2024-01-02 22:00:00,43.521
2024-01-02 23:00:00,103.45875
2024-01-03 00:00:00,707.2465
2024-01-03 01:00:00,576.84625
2024-01-03 02:00:00,43.99
2024-01-03 03:00:00,142.12825
2024-01-03 04:00:00,703.234
2024-01-03 05:00:00,1098.62225
2024-01-03 06:00:00,1125.95675
2024-01-03 07:00:00,712.07475
2024-01-03 08:00:00,41.457
2024-01-03 09:00:00,39.8525
2024-01-03 10:00:00,38.42725
2024-01-03 11:00:00,41.01175
2024-01-03 12:00:00,40.2145
2024-01-03 13:00:00,40.258
2024-01-03 14:00:00,842.413
2024-01-03 15:00:00,925.255
2024-01-03 16:00:00,43.01475
2024-01-03 17:00:00,44.62775
2024-01-03 18:00:00,70.69624999999999
2024-01-03 19:00:00,682.0315
2024-01-03 20:00:00,720.37
2024-01-03 21:00:00,165.06799999999998
2024-01-03 22:00:00,41.553
2024-01-03 23:00:00,39.388
2024-01-04 00:00:00,
2024-01-04 01:00:00,
2024-01-04 02:00:00,
2024-01-04 03:00:00,
2024-01-04 04:00:00,
2024-01-04 05:00:00,
2024-01-04 06:00:00,
2024-01-04 07:00:00,
2024-01-04 08:00:00,
2024-01-04 09:00:00,
2024-01-04 10:00:00,
2024-01-04 11:00:00,
2024-01-04 12:00:00,
2024-01-04 13:00:00,
2024-01-04 14:00:00,
2024-01-04 15:00:00,
2024-01-04 16:00:00,
2024-01-04 17:00:00,
2024-01-04 18:00:00,
2024-01-04 19:00:00,
2024-01-04 20:00:00,
2024-01-04 21:00:00,
2024-01-04 22:00:00,
2024-01-04 23:00:00,1032.522
2024-01-05 00:00:00,
2024-01-05 01:00:00,
2024-01-05 02:00:00,
2024-01-05 03:00:00,
2024-01-05 04:00:00,
2024-01-05 05:00:00,
2024-01-05 06:00:00,
2024-01-05 07:00:00,
2024-01-05 08:00:00,
2024-01-05 09:00:00,
2024-01-05 10:00:00,
2024-01-05 11:00:00,
2024-01-05 12:00:00,
2024-01-05 13:00:00,
